Movie_ID,Title,Director,Writer,Main_Genres,Motion_Picture_Rating,Runtime_Minutes,Rating,Budget_InMillions,Gross_USCanada_InMillions,Gross_worldwide_InMillions,Total_Gross,Opening_Weekend_USCanada,Gross_Opening_Weekend_InMillions
1,Napoleon,Ridley Scott,David Scarpa,"Action,Adventure,Biography",R,158,6.7,,37.514,84.968,122.482,11.26.2023,20.639
2,The Hunger Games: The Ballad of Songbirds & Snakes,Francis Lawrence,"Michael Lesslie,Michael Arndt,Suzanne Collins","Action,Adventure,Drama",PG-13,157,7.2,100,105.043,191.729,296.772,11.19.2023,44.607
3,The Killer,David Fincher,"Andrew Kevin Walker,Luc Jacamon,Alexis Nolent","Action,Adventure,Crime",R,118,6.8,,,0.421,0.421,,
4,Leo,"David Wachtenheim,Robert Smigel,Robert Marianetti","Paul Sado,Robert Smigel,Adam Sandler","Animation,Comedy,Family",PG,102,7,,,,,,
5,Thanksgiving,Eli Roth,"Eli Roth,Jeff Rendell","Horror,Mystery,Thriller",R,106,7,,25.409,29.667,55.076,11.19.2023,10.306
6,Oppenheimer,Christopher Nolan,"Martin Sherwin,Christopher Nolan,Kai Bird","Biography,Drama,History",R,3,8.5,100,325.367,950.554,1275.921,07.23.2023,82.455
7,Saltburn,Emerald Fennell,Emerald Fennell,"Comedy,Drama,Thriller",R,131,7.5,,4.358,7.546,11.904,11.19.2023,0.323
8,The Marvels,Nia DaCosta,"Elissa Karasik,Nia DaCosta,Megan McDonnell","Action,Adventure,Fantasy",PG-13,105,6,220,77.927,188.197,266.124,11.12.2023,46.111
9,Wish,"Fawn Veerasunthorn,Chris Buck","Jennifer Lee,Chris Buck,Allison Moore","Animation,Adventure,Comedy",PG,95,5.9,200,33.974,51.276,85.25,11.26.2023,19.698
10,The Creator,Gareth Edwards,"Chris Weitz,Gareth Edwards","Action,Adventure,Drama",PG-13,133,6.9,80,40.775,104.181,144.956,10.01.2023,14.08
11,Killers of the Flower Moon,Martin Scorsese,"Eric Roth,David Grann,Martin Scorsese","Crime,Drama,History",R,206,8,200,65.979,152.179,218.158,10.22.2023,23.254
12,Trolls Band Together,"Walt Dohrn,Tim Heitz","Kim Caramele,Thomas Dam,Elizabeth Tippet","Animation,Adventure,Comedy",PG,91,6,,66.716,149.763,216.479,11.19.2023,30.003
13,Five Nights at Freddy's,Emma Tammi,"Emma Tammi,Seth Cuddeback,Scott Cawthon","Horror,Mystery,Thriller",PG-13,109,5.5,20,136.459,284.339,420.798,10.29.2023,80.002
14,Blue Beetle,Angel Manuel Soto,Gareth Dunnet-Alcocer,"Action,Adventure,Sci-Fi",PG-13,127,6,104,72.488,129.288,201.776,08.20.2023,25.03
15,A Haunting in Venice,Kenneth Branagh,"Michael Green,Agatha Christie","Crime,Drama,Horror",PG-13,103,6.5,60,42.471,122.032,164.503,09.17.2023,14.28
16,Tiger 3,Maneesh Sharma,"Aditya Chopra,Shridhar Raghavan,Anckur Chaudhry","Action,Adventure,Thriller",,154,7.5,,5.365,11.317,16.682,11.12.2023,1.913
17,The Holdovers,Alexander Payne,David Hemingson,"Comedy,Drama",R,133,8.2,,13.736,13.736,27.472,10.29.2023,0.211
18,Barbie,Greta Gerwig,"Greta Gerwig,Noah Baumbach","Adventure,Comedy,Fantasy",PG-13,114,7,100,636.192,1441.792,2077.984,07.23.2023,162.022
19,Anyone But You,Will Gluck,"Will Gluck,Ilana Wolpert","Comedy,Romance",,100,,,,,,,
20,Please Don't Destroy: The Treasure of Foggy Mountain,Paul Briganti,"John Higgins,Martin Herlihy,Ben Marshall",Comedy,R,92,6.1,,,,,,
21,Best. Christmas. Ever!,Mary Lambert,"Todd Calgi Gallicano,Charles Shyer","Comedy,Romance",TV-PG,82,4.4,,,,,,
22,The Marsh King's Daughter,Neil Burger,"Elle Smith,Karen Dionne,Mark L. Smith","Crime,Drama,Mystery",R,109,5.9,,1.788,2.612,4.4,11.05.2023,0.849
23,No Hard Feelings,Gene Stupnitsky,"Gene Stupnitsky,John Phillips","Comedy,Romance",R,103,6.4,45,50.452,87.247,137.699,06.25.2023,15.003
24,Aquaman and the Lost Kingdom,James Wan,"Jason Momoa,James Wan,David Leslie Johnson-McGoldrick","Action,Adventure,Fantasy",PG-13,115,,205,,,,,
25,Wonka,Paul King,"Paul King,Roald Dahl,Simon Farnaby","Adventure,Comedy,Family",PG,112,,,,,,,
26,Leo,Lokesh Kanagaraj,"Lokesh Kanagaraj,Rathna Kumar,Deeraj Vaidy","Action,Crime,Drama",,164,7.5,,,6.978,6.978,,
27,Mission: Impossible - Dead Reckoning Part One,Christopher McQuarrie,"Erik Jendresen,Christopher McQuarrie,Bruce Geller","Action,Adventure,Thriller",PG-13,163,7.8,291,172.135,567.535,739.67,07.16.2023,54.688
28,Spider-Man: Across the Spider-Verse,"Justin K. Thompson,Joaquim Dos Santos,Kemp Powers","Dave Callaham,Phil Lord,Christopher Miller","Animation,Action,Adventure",PG,140,8.7,150,381.311,690.517,1071.828,06.04.2023,120.664
29,Good Burger 2,Phil Traill,"Heath Seifert,Kevin Kopelow,Dan Schneider","Comedy,Family",TV-PG,90,5.5,,,,,,
30,Genie,Sam Boyd,Richard Curtis,"Comedy,Fantasy",PG,93,6,,,0.084,0.084,,
31,Poor Things,Yorgos Lanthimos,"Tony McNamara,Alasdair Gray","Romance,Sci-Fi",R,141,8.5,,,,,,
32,Dream Scenario,Kristoffer Borgli,Kristoffer Borgli,"Comedy,Horror",R,102,7.4,,1.388,2.548,3.936,11.12.2023,0.22
33,Priscilla,Sofia Coppola,"Sandra Harmon,Priscilla Presley,Sofia Coppola","Biography,Drama,Music",R,113,7,,19.602,19.602,39.204,10.29.2023,0.132
34,Next Goal Wins,Taika Waititi,"Taika Waititi,Iain Morris","Comedy,Drama,Sport",PG-13,104,6.5,14,6.088,6.088,12.176,11.19.2023,2.5
35,Nyad,"Jimmy Chin,Elizabeth Chai Vasarhelyi","Julia Cox,Diana Nyad","Biography,Drama,Sport",PG-13,121,7.1,,,0.016,0.016,,
36,May December,Todd Haynes,"Alex Mechanik,Samy Burch","Comedy,Drama",R,117,7.5,,,0.235,0.235,,
37,Pain Hustlers,David Yates,"Evan Hughes,Wells Tower","Crime,Drama",R,123,6.5,50,,,,,
38,Godzilla Minus One,Takashi Yamazaki,Takashi Yamazaki,"Action,Adventure,Drama",PG-13,125,8.4,,,23.131,23.131,,
39,Maestro,Bradley Cooper,"Bradley Cooper,Josh Singer","Biography,Drama,Music",R,129,7.1,,,0.003,0.003,,
40,Old Dads,Bill Burr,"Ben Tishler,Bill Burr",Comedy,R,104,6.2,,,,,,
41,The Equalizer 3,Antoine Fuqua,"Michael Sloan,Richard Wenk,Richard Lindheim","Action,Crime,Thriller",R,109,6.9,70,92.374,190.687,283.061,09.03.2023,34.604
42,Jawan,Atlee,"Sumit Arora,Atlee,Ramanagirivasan","Action,Thriller",Not Rated,169,7.1,,15.199,28.499,43.698,09.10.2023,6.125
43,EXmas,Jonah Feingold,Dan Steele,Comedy,,93,5.7,,,,,,
44,Reptile,Grant Singer,"Grant Singer,Benjamin Brewer,Benicio Del Toro","Crime,Drama,Mystery",R,134,6.8,,,,,,
45,Rebel Moon: Part One - A Child of Fire,Zack Snyder,"Kurt Johnstad,Shay Hatten,Zack Snyder","Action,Adventure,Drama",PG-13,133,,90,,,,,
46,Anatomy of a Fall,Justine Triet,"Arthur Harari,Justine Triet","Crime,Drama,Thriller",R,151,7.9,6.2,3.367,18.221,21.588,10.15.2023,0.118
47,Sound of Freedom,Alejandro Monteverde,"Rod Barr,Alejandro Monteverde","Biography,Crime,Drama",PG-13,131,7.7,14.6,184.175,247.802,431.977,07.09.2023,19.681
48,Dashing Through the Snow,Tim Story,Scott Rosenberg,"Comedy,Family,Fantasy",PG,92,5.5,,,,,,
49,The Shift,Brock Heasley,Brock Heasley,Sci-Fi,PG-13,115,6.5,,,,,,
50,John Wick: Chapter 4,Chad Stahelski,"Shay Hatten,Derek Kolstad,Michael Finch","Action,Crime,Thriller",R,169,7.7,100,187.132,440.147,627.279,03.26.2023,73.818
51,Rustin,George C. Wolfe,"Dustin Lance Black,Julian Breece","Biography,Drama,History",PG-13,106,6.6,,,,,,
52,Dumb Money,Craig Gillespie,"Rebecca Angelo,Lauren Schuker Blum,Ben Mezrich","Biography,Comedy,Drama",R,105,6.9,30,13.925,20.213,34.138,09.17.2023,0.221
53,Manodrome,John Trengove,John Trengove,"Drama,Thriller",R,95,4.8,,,,,,
54,When Evil Lurks,Demián Rugna,Demián Rugna,Horror,Not Rated,99,7,,0.547,0.804,1.351,10.08.2023,0.206
55,Saw X,Kevin Greutert,"Josh Stolberg,Pete Goldfinger","Horror,Mystery,Thriller",R,118,6.7,13,53.608,106.226,159.834,10.01.2023,18.309
56,The Naughty Nine,Alberto Belli,"Scott Thomas,Jed Elinoff","Adventure,Comedy,Crime",TV-PG,83,5,32,,,,,
57,See You on Venus,Joaquín Llamas,Victoria Vinuesa,"Drama,Romance",,94,5.9,,,0.171,0.171,,
58,The Iron Claw,Sean Durkin,Sean Durkin,"Biography,Drama,Sport",,130,,20.4,,,,,
59,Scream VI,"Matt Bettinelli-Olpin,Tyler Gillett","Kevin Williamson,Guy Busick,James Vanderbilt","Horror,Mystery,Thriller",R,122,6.5,35,108.161,168.961,277.122,03.12.2023,44.447
60,Dungeons & Dragons: Honor Among Thieves,"John Francis Daley,Jonathan Goldstein","John Francis Daley,Michael Gilio,Jonathan Goldstein","Action,Adventure,Comedy",PG-13,134,7.3,150,93.277,208.177,301.454,04.02.2023,37.206
61,Elemental,Peter Sohn,"Kat Likkel,Brenda Hsueh,John Hoberg","Animation,Adventure,Comedy",PG,101,7,200,154.427,495.924,650.351,06.18.2023,29.602
62,Guardians of the Galaxy Vol. 3,James Gunn,"James Gunn,Jim Starlin,Stan Lee","Action,Adventure,Comedy",PG-13,150,7.9,250,358.996,845.556,1204.552,05.07.2023,118.414
63,Indiana Jones and the Dial of Destiny,James Mangold,"Jez Butterworth,David Koepp,John-Henry Butterworth","Action,Adventure,Sci-Fi",PG-13,154,6.6,294.7,174.48,383.963,558.443,07.02.2023,60.368
64,Gran Turismo,Neill Blomkamp,"Jason Hall,Zach Baylin,Alex Tse","Action,Adventure,Drama",PG-13,134,7.2,60,44.429,121.68,166.109,08.27.2023,17.411
65,The Boy and the Heron,Hayao Miyazaki,,"Animation,Adventure,Drama",PG-13,124,7.6,,,83.329,83.329,,
66,The Super Mario Bros. Movie,"Pierre Leduc,Michael Jelenic,Aaron Horvath",Matthew Fogel,"Animation,Adventure,Comedy",PG,92,7.1,100,574.934,1361.977,1936.911,04.09.2023,146.362
67,Expend4bles,Scott Waugh,"Tad Daggerhart,Max Adams,Kurt Wimmer","Action,Adventure,Thriller",R,103,4.8,100,16.71,37.963,54.673,09.24.2023,8.039
68,Locked In,Nour Wazzi,Rowan Joffe,"Horror,Mystery,Thriller",TV-MA,96,5.1,,,,,,
69,All-Time High,Julien Hollande,Julien Hollande,Comedy,TV-MA,101,5.6,,,,,,
70,Nuovo Olimpo,Ferzan Özpetek,"Gianni Romoli,Ferzan Özpetek","Drama,Romance",TV-MA,113,7.2,,,,,,
71,Book Club: The Next Chapter,Bill Holderman,"Bill Holderman,Erin Simms",Comedy,PG-13,107,5.6,20,17.556,28.987,46.543,05.14.2023,6.678
72,The Blind,Andrew Hyatt,"Stephanie Katz,Zach Dasher,Andrew Hyatt",Drama,PG-13,108,6,,17.265,17.265,34.53,10.01.2023,4.342
73,Stamped from the Beginning,Roger Ross Williams,"David Teague,Ibram X. Kendi",Documentary,R,91,6.3,,,,,,
74,Brave Citizen,Park Jin-Pyo,Ji Na Yeo,"Action,Comedy,Drama",,112,6.8,,,1.94,1.94,,
75,Apurva,Nikhil Nagesh Bhat,Nikhil Nagesh Bhat,"Drama,Thriller",,95,6.2,,,,,,
76,Sympathy for the Devil,Yuval Adler,Luke Paradise,"Action,Thriller",,90,5.5,,0.012,0.237,0.249,07.30.2023,0.005
77,Miranda's Victim,Michelle Danner,"J. Craig Stiles,George Kolber,Richard Lasser","Biography,Crime,Drama",,127,6.5,,,,,,
78,Bye Bye Barry,"Paul Monusky,Angela Torma,Micaela Powers",,"Documentary,Sport",,92,8,,,,,,
79,Flora and Son,John Carney,John Carney,"Drama,Music,Romance",R,97,7,,,0.13,0.13,,
80,Assassin Club,Camille Delamarre,Thomas Dunn,"Action,Thriller",R,111,4.7,,,0.188,0.188,,
81,The Last Rifleman,Terry Loane,Kevin Fitzpatrick,Drama,,95,6.7,,,,,,
82,In Love and Deep Water,"Yûsuke Taki,Morgan Bailey Keaton",Yûji Sakamoto,"Comedy,Mystery,Romance",TV-14,125,4.9,,,,,,
83,Nefarious,"Chuck Konzelman,Cary Solomon","Chuck Konzelman,Steve Deace,Cary Solomon","Horror,Thriller",R,97,6.4,,5.434,5.492,10.926,04.16.2023,1.316
84,The Fall of Minneapolis,JC Chaix,"JC Chaix,Liz Collin","Documentary,Crime",,102,8.3,,,,,,
85,Sick Girl,Jennifer Cram,Jennifer Cram,"Comedy,Drama",R,99,4.8,,,0.022,0.022,,
86,Beautiful Disaster,Roger Kumble,"Roger Kumble,Jamie McGuire","Drama,Romance",R,96,5.3,,,6.85,6.85,,
87,Frybread Face and Me,Billy Luther,Billy Luther,Drama,,83,7.3,,,,,,
88,The Out-Laws,Tyler Spindel,"Ben Zazove,Evan Turner","Action,Comedy,Crime",R,95,5.4,,,,,,
89,The Three Musketeers - Part I: D'Artagnan,Martin Bourboulon,"Matthieu Delaporte,Alexandre de La Patellière,Alexandre Dumas","Action,Adventure,History",,121,6.7,36,,31.454,31.454,,
90,Under the Boardwalk,David Soren,"David Soren,David Dobkin,Lorene Scafaria","Animation,Adventure,Comedy",PG,83,5.8,,,,,,
91,The Reading,Courtney Glaude,Courtney Glaude,Thriller,TV-MA,96,5.3,,,,,,
92,About My Father,Laura Terruso,"Austen Earl,Sebastian Maniscalco",Comedy,PG-13,90,5.7,,12.089,18.168,30.257,05.28.2023,4.321
93,Desperation Road,Nadine Crocker,,"Action,Mystery,Thriller",R,112,5.7,,,0.041,0.041,,
94,God Is a Bullet,Nick Cassavetes,"Nick Cassavetes,Boston Teran","Action,Crime,Thriller",18+,156,5.6,,,0.141,0.141,,
95,Hit Man,,"Richard Linklater,Glen Powell,Skip Hollandsworth","Action,Comedy",R,113,7.8,,,,,,
96,Zombie Town,Peter Lepeniotis,"Michael Schwartz,Peter Lepeniotis,Michael Samonek","Comedy,Horror",PG-13,92,3.9,,0.131,0.131,0.262,09.03.2023,0.084
97,Suitable Flesh,Joe Lynch,"H.P. Lovecraft,Dennis Paoli","Horror,Thriller",,100,5.3,,0.018,0.023,0.041,10.29.2023,0.011
98,Pet Sematary: Bloodlines,Lindsey Anderson Beer,"Jeff Buhler,Lindsey Anderson Beer,Stephen King","Fantasy,Horror",R,87,4.6,,,,,,
99,Tetris,Jon S. Baird,Noah Pink,"Biography,Drama,History",R,118,7.4,,,,,,
100,Passages,Ira Sachs,"Ira Sachs,Arlette Langmann,Mauricio Zacharias","Drama,Romance",Unrated,91,6.8,,0.552,1.103,1.655,08.06.2023,0.063
101,They Cloned Tyrone,Juel Taylor,"Juel Taylor,Tony Rettenmaier","Comedy,Mystery,Sci-Fi",R,122,6.6,,,,,,
102,Happiness for Beginners,Vicky Wight,"Vicky Wight,Katherine Center","Comedy,Drama,Romance",TV-14,103,6.1,,,,,,
103,Creation of the Gods I: Kingdom of Storms,Wuershan,"Jianan Ran,Ping Ran,Cao Sheng","Adventure,Drama,Fantasy",,148,6.9,800,1.706,2.356,4.062,09.24.2023,0.931
104,Simulant,April Mullen,Ryan Christopher Churchill,"Crime,Sci-Fi,Thriller",Not Rated,95,5.2,,,0.237,0.237,,
105,The Conference,Patrik Eklund,"Thomas Moldestad,Mats Strandberg,Patrik Eklund","Comedy,Horror,Mystery",TV-MA,100,5.8,,,,,,
106,Maxine's Baby: The Tyler Perry Story,"Gelila Bekele,Armani Ortiz",Gelila Bekele,"Documentary,Biography",PG-13,115,7.8,,,,,,
107,Fast Charlie,Phillip Noyce,"Victor Gischler,Richard Wenk","Action,Crime,Drama",,,8.8,20,,,,,
108,Ballerina,Chung-Hyun Lee,Chung-Hyun Lee,"Action,Thriller",TV-MA,92,6.2,,,,,,
109,Deep Fear,Marcus Adams,"Sophia Eptamenitis,Robert Capelli Jr.","Action,Thriller",,84,3.8,,,0.135,0.135,,
110,Guardians of the Formula,Dragan Bjelogrlic,"Dragan Bjelogrlic,Goran Milasinovic,Vuk Rsumovic","Drama,History,Thriller",,2,8.6,,,0.939,0.939,,
111,Onyx the Fortuitous and the Talisman of Souls,Andrew Bowser,Andrew Bowser,"Comedy,Horror",,108,6.4,,0.182,0.182,0.364,,
112,Nimona,"Troy Quane,Nick Bruno","Lloyd Taylor,Pamela Ribon,Robert L. Baird","Animation,Action,Adventure",PG,101,7.6,,,,,,
113,The Miracle Club,Thaddeus O'Sullivan,"Joshua D. Maurer,Timothy Prager,Jimmy Smallhorne","Comedy,Drama",PG-13,90,6.3,8.9,2.403,6.626,9.029,07.16.2023,0.665
114,Ronnie O'Sullivan: The Edge of Everything,Sam Blair,,Documentary,,113,7.8,,,0.036,0.036,,
115,Polite Society,Nida Manzoor,Nida Manzoor,"Action,Comedy",PG-13,104,6.7,,1.546,2.594,4.14,04.30.2023,0.818
116,The Wrath of Becky,"Matt Angel,Suzanne Coote","Suzanne Coote,Nick Morris,Matt Angel","Action,Horror,Thriller",R,84,6.1,,0.168,0.202,0.37,05.28.2023,0.147
117,Hardcore Never Dies,Jim Taihuttu,"Amira Duynhouwer,Victor D. Ponten",Crime,,115,7.2,3.2,,1.059,1.059,,
118,The Hill,Jeff Celentano,"Scott Marshall Smith,Bill Chaffin,Angelo Pizzo","Biography,Drama,Sport",PG,126,6.4,,7.666,7.666,15.332,08.27.2023,2.302
119,Mr. Monk's Last Case: A Monk Movie,Randy Zisk,Andy Breckman,"Comedy,Crime",,,,,,,,,
120,Sister Death,Paco Plaza,"Jorge Guerricaechevarría,Paco Plaza","Horror,Mystery",TV-MA,91,5.7,,,,,,
121,JFK: What the Doctors Saw,Barbara Shearer,,"Documentary,History",,92,7.5,,,,,,
122,Jailer,Nelson Dilipkumar,Nelson Dilipkumar,"Action,Comedy,Crime",,168,7.1,,,4.818,4.818,,
123,Last Stop Larrimah,Thomas Tancred,,"Documentary,Crime,Mystery",TV-MA,118,7.1,,,,,,
124,Paradise,Boris Kunz,"Peter Kocyla,Boris Kunz,Simon Amberger","Action,Sci-Fi,Thriller",TV-MA,117,6.3,,,,,,
125,The Promised Land,Nikolaj Arcel,"Nikolaj Arcel,Ida Jessen,Anders Thomas Jensen","Biography,Drama,History",,127,7.8,8,,,,,
126,Hidden Strike,Scott Waugh,Arash Amel,"Action,Adventure,Comedy",TV-14,102,5.3,80,,2.155,2.155,,
127,Missing,"Will Merrick,Nicholas D. Johnson","Sev Ohanian,Will Merrick,Nicholas D. Johnson","Drama,Mystery,Thriller",PG-13,111,7.1,7,32.502,48.768,81.27,01.22.2023,9.155
128,The Oath,Darin Scott,"Michelle Scott,Darin Scott","Action,Adventure,Drama",PG-13,104,,,,,,,
129,Zoey 102,Nancy Hower,"Dan Schneider,Madeline Whitby,Monica Sherer","Comedy,Drama,Family",TV-14,101,5,,,,,,
130,Fukrey 3,Mrighdeep Lamba,Vipul Vig,"Comedy,Crime,Drama",Not Rated,147,6.7,0,,0.584,0.584,,
131,Left Behind: Rise of the Antichrist,Kevin Sorbo,"Jessica Parker,Paul Lalonde,John Patus","Action,Drama,Mystery",Not Rated,115,4.2,,3.649,3.649,7.298,01.29.2023,2.553
132,The Jester,Colin Krawchuk,"Michael Sheffield,Colin Krawchuk","Horror,Mystery,Thriller",,90,4.2,,,0.93,0.93,,
133,Quiz Lady,Jessica Yu,Jen D'Angelo,Comedy,R,99,6.7,,,,,,
134,Asteroid City,Wes Anderson,"Roman Coppola,Wes Anderson","Comedy,Drama,Romance",PG-13,105,6.6,25,28.153,53.831,81.984,06.18.2023,0.853
135,Believer 2,Jong-Yeol Baek,Cheol-Hong Jeon,"Action,Crime,Thriller",TV-MA,114,5.6,,,,,,
136,Fair Play,Chloe Domont,Chloe Domont,"Drama,Mystery,Thriller",R,113,6.4,,,,,,
137,Past Lives,Celine Song,Celine Song,"Drama,Romance",PG-13,105,8,,10.924,20.286,31.21,06.04.2023,0.232
138,The Burial,Maggie Betts,"Maggie Betts,Jonathan Harr,Doug Wright",Drama,R,126,7.1,,,,,,
139,Last Call for Istanbul,Gonenc Uyanik,Nuran Evren Sit,"Drama,Romance",TV-MA,91,5.4,,,,,,
140,Bottoms,Emma Seligman,"Emma Seligman,Rachel Sennott",Comedy,R,91,6.9,,12.036,12.591,24.627,08.27.2023,0.461
141,Totally Killer,Nahnatchka Khan,"Jen D'Angelo,David Matalon,Sasha Perl-Raver","Comedy,Horror",R,106,6.6,,,,,,
142,Leave the World Behind,Sam Esmail,"Sam Esmail,Rumaan Alam","Drama,Thriller",R,138,6.9,,,,,,
143,Journey to Bethlehem,Adam Anders,"Peter Barsocchini,Adam Anders","Adventure,Family,Musical",PG,99,6.6,6,5.912,5.964,11.876,11.12.2023,2.4
144,Kandahar,Ric Roman Waugh,Mitchell LaFortune,"Action,Thriller",R,119,6.1,,4.813,9.385,14.198,05.28.2023,2.325
145,Teenage Mutant Ninja Turtles: Mutant Mayhem,"Kyler Spears,Jeff Rowe","Seth Rogen,Evan Goldberg,Jeff Rowe","Animation,Action,Adventure",PG,99,7.2,70,118.614,180.514,299.128,08.06.2023,28.008
146,The Covenant,Guy Ritchie,"Guy Ritchie,Marn Davies,Ivan Atkinson","Action,Drama,Thriller",R,123,7.5,55,16.938,21.632,38.57,04.23.2023,6.38
147,The Flash,Andy Muschietti,"John Francis Daley,Jonathan Goldstein,Christina Hodson","Action,Adventure,Fantasy",PG-13,144,6.7,200,108.133,270.633,378.766,06.18.2023,55.044
148,Ferrari,Michael Mann,"Troy Kennedy Martin,Brock Yates","Biography,Drama,History",R,130,6.6,110,,,,,
149,Warhorse One,"William Kaufman,Johnny Strong",Johnny Strong,"Action,Drama,War",R,126,5.2,,,0.001,0.001,,
150,The Toxic Avenger,Macon Blair,"Joe Ritter,Lloyd Kaufman,Macon Blair","Action,Comedy,Horror",R,102,5.9,,,,,,
151,There's Something in the Barn,"Magnus Martens(director:),Magnus Martens","Josh Epstein,Aleksander Kirkwood Brown,Kyle Rideout","Comedy,Fantasy,Horror",R,100,6.1,,,0.451,0.451,,
152,Mafia Mamma,Catherine Hardwicke,"Debbie Jhoon,Amanda Sthers,J. Michael Feldman","Action,Comedy,Crime",R,101,5.4,,3.497,6.121,9.618,04.16.2023,2.032
153,Where the Devil Roams,"Zelda Adams,Toby Poser,John Adams","John Adams,Toby Poser,Zelda Adams",Horror,,93,5.6,,,,,,
154,Golda,Guy Nattiv,Nicholas Martin,"Biography,Drama,History",PG-13,100,5.9,,4.802,5.822,10.624,08.27.2023,1.696
